date,rooms,rooms_occupied
4/14/2020,0,0
4/15/2020,0,0
4/16/2020,0,0
4/17/2020,67,32
4/18/2020,67,37
4/19/2020,67,48
4/20/2020,67,41
4/21/2020,67,41
4/22/2020,67,61
4/24/2020,67,43
4/23/2020,67,40
4/25/2020,67,40
4/26/2020,67,46
4/27/2020,67,49
4/28/2020,67,62
4/29/2020,67,62
4/30/2020,67,48
5/1/2020,67,44
5/2/2020,67,45
5/3/2020,67,44
5/4/2020,67,49
5/5/2020,67,49
5/6/2020,67,59
5/7/2020,67,57
5/8/2020,67,49
5/9/2020,67,49
5/10/2020,67,40
5/11/2020,67,44
5/12/2020,67,57
5/13/2020,67,56
5/14/2020,67,55
5/15/2020,67,42
5/16/2020,67,42
5/17/2020,67,40
5/18/2020,67,49
5/19/2020,67,52
5/20/2020,67,56
5/21/2020,67,51
5/22/2020,67,39
5/23/2020,67,39
5/24/2020,67,45
5/25/2020,67,45
5/26/2020,67,52
5/27/2020,67,64
5/28/2020,67,63
5/29/2020,67,50
6/1/2020,67,50
6/2/2020,67,59
6/3/2020,67,59
6/4/2020,97,70
6/5/2020,97,70
6/8/2020,97,73
6/9/2020,97,87
6/10/2020,97,86
6/11/2020,97,90
6/12/2020,97,70
6/15/2020,97,62
6/16/2020,97,88
6/17/2020,97,92
6/18/2020,97,80
6/19/2020,97,81
6/22/2020,97,83
6/23/2020,97,78
6/24/2020,97,76
6/25/2020,97,81
6/26/2020,97,75
6/29/2020,97,85
6/30/2020,97,85
7/1/2020,97,85
7/2/2020,97,87
7/3/2020,97,85
7/6/2020,97,85
7/7/2020,97,84
7/8/2020,97,81
7/9/2020,97,81
7/10/2020,97,96
7/13/2020,97,83
7/14/2020,23,23
7/15/2020,20,20
7/16/2020,20,20
7/17/2020,21,21
7/20/2020,23,23
7/21/2020,23,23
7/22/2020,23,23
7/23/2020,23,23
7/24/2020,23,23
7/27/2020,23,23
7/28/2020,23,23
7/29/2020,23,23
7/30/2020,23,23
7/31/2020,23,23
8/3/2020,23,23
8/4/2020,23,23
