todays_date,hospitalized_covid_confirmed_patients
3/29/2020,1
3/30/2020,1
3/31/2020,1
4/1/2020,2
4/2/2020,2
4/3/2020,2
4/4/2020,2
4/5/2020,3
4/6/2020,3
4/7/2020,3
4/8/2020,2
4/9/2020,2
4/10/2020,2
4/11/2020,2
4/12/2020,0
4/13/2020,1
4/14/2020,1
4/15/2020,1
4/16/2020,1
4/17/2020,1
4/18/2020,0
4/19/2020,0
4/20/2020,0
4/21/2020,1
4/22/2020,0
4/23/2020,0
4/24/2020,0
4/25/2020,0
4/26/2020,0
4/27/2020,0
4/28/2020,0
4/29/2020,0
4/30/2020,1
5/1/2020,1
5/2/2020,1
5/3/2020,0
5/4/2020,0
5/5/2020,0
5/6/2020,0
5/7/2020,0
5/8/2020,0
5/9/2020,0
5/10/2020,0
5/11/2020,1
5/12/2020,1
5/13/2020,1
5/14/2020,1
5/15/2020,1
5/16/2020,1
5/17/2020,1
5/18/2020,1
5/19/2020,1
5/20/2020,1
5/21/2020,1
5/22/2020,1
5/23/2020,1
5/24/2020,1
5/25/2020,1
5/26/2020,1
5/27/2020,1
5/28/2020,0
5/29/2020,0
5/30/2020,0
5/31/2020,0
6/1/2020,0
6/2/2020,0
6/3/2020,0
6/4/2020,0
6/5/2020,0
6/6/2020,0
6/7/2020,0
6/8/2020,0
6/9/2020,0
6/10/2020,0
6/11/2020,0
6/12/2020,0
6/13/2020,0
6/14/2020,0
6/15/2020,0
6/16/2020,0
6/17/2020,0
6/18/2020,0
6/19/2020,0
6/20/2020,0
6/21/2020,0
6/22/2020,0
6/23/2020,0
6/24/2020,0
6/25/2020,0
6/26/2020,0
6/27/2020,0
6/28/2020,0
6/29/2020,0
6/30/2020,1
7/1/2020,1
7/2/2020,1
7/3/2020,1
7/4/2020,1
7/5/2020,0
7/6/2020,0
7/7/2020,1
7/8/2020,2
7/9/2020,3
7/10/2020,4
7/11/2020,3
7/12/2020,2
7/13/2020,2
7/14/2020,2
7/15/2020,1
7/16/2020,1
7/17/2020,2
7/18/2020,3
7/19/2020,3
7/20/2020,2
7/21/2020,4
7/22/2020,2
7/23/2020,3
7/24/2020,6
7/25/2020,6
7/26/2020,6
7/27/2020,6
7/28/2020,7
7/29/2020,3
7/30/2020,3
7/31/2020,1
8/1/2020,4
8/2/2020,3
8/3/2020,3
8/4/2020,3
